Sources,C,1C,CC,2C,1CC,CCC,3C,2CC,1CCC,4C,3CC,2CCC,5C,4CC,3CCC,Sources
6,58.1,63.8,19.8,71.1,26.5,4.7,78,34.7,7.7,83.9,44.3,12.2,88.5,53.7,18.1,6
7,64.4,70.2,25.9,77.2,33.9,7.5,83.5,43.8,12.2,88.8,54.2,18.9,92.6,64.2,27.2,7
8,70.2,75.6,32.2,82.2,41.5,11.1,88.1,52.5,17.7,92.4,63.5,26.5,95.3,73.3,36.8,8
9,75.1,80.1,38.6,86.3,48.9,15.4,91.4,60.6,23.9,94.9,71.4,34.9,97.2,80.6,47,9
10,79.3,84.1,44.8,89.7,56.1,20.3,94,68.1,30.8,96.7,78.4,43.7,98.4,86.5,56.9,10
11,83.1,87.3,50.9,92.3,62.9,25.6,95.8,74.6,38.2,98,84.2,52.4,99.1,91,66.3,11
12,86.3,90.1,56.9,94.4,69,31.6,97.3,80.4,45.6,98.8,88.9,60.8,99.5,94,74.5,12
13,89.1,92.4,62.6,96,74.6,37.7,98.3,85.1,53.4,99.3,92.4,68.9,99.8,96.6,81.6,13
14,91.4,94.2,68,97.3,79.8,44,98.9,89.2,60.9,99.6,95.1,76.1,99.9,98.1,87.5,14
15,93.4,95.8,72.9,98.2,84.2,50.4,99.4,92.5,67.9,99.8,97,82.4,100,99,92,15
16,95.1,97,77.6,98.9,88,56.9,99.7,95,74.6,99.9,98.3,87.9,100,99.6,95.2,16
17,96.4,97.9,81.7,99.3,91.2,63.3,99.8,96.9,80.6,100,99.2,92.1,100,99.8,97.4,17
18,97.5,98.6,85.4,99.6,94,69.5,99.9,98.2,86.1,100,99.6,95.3,100,100,98.9,18
19,98.4,99.1,88.8,99.8,96.1,75.5,100,99.1,90.6,100,99.9,97.5,100,100,99.6,19
20,99,99.5,91.8,99.9,97.8,81.3,100,99.7,94.4,100,100,99,100,100,99.9,20
21,99.5,99.8,94.4,100,98.9,86.5,100,99.9,97.2,100,100,99.7,100,100,100,21
22,99.8,99.9,96.6,100,99.6,91.4,100,100,99.1,100,100,100,100,100,100,22
23,100,100,98.4,100,100,95.9,100,100,100,100,100,100,100,100,100,23
24,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,24